eventID,occurrenceID,measurementID,measurementType,measurementTypeID,measurementValue,measurementValueID,measurementUnit,measurementUnitID,measurementMethod
IYS:GoA2020:Stn1:trawl,IYS:GoA2020:Stn1:trawl:occ:10,IYS:GoA2020:Stn1:trawl:occ:10:individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,33,,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,total
IYS:GoA2020:Stn1:trawl,IYS:GoA2020:Stn1:trawl:occ:10,IYS:GoA2020:Stn1:trawl:occ:10:biomass,Total species biomass,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,0.015,,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,
IYS:GoA2020:Stn1:trawl,IYS:GoA2020:Stn1:trawl:occ:11,IYS:GoA2020:Stn1:trawl:occ:11:individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,51,,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,total
IYS:GoA2020:Stn1:trawl,IYS:GoA2020:Stn1:trawl:occ:11,IYS:GoA2020:Stn1:trawl:occ:11:biomass,Total species biomass,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,0.018,,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,
IYS:GoA2020:Stn1:trawl,IYS:GoA2020:Stn1:trawl:occ:12,IYS:GoA2020:Stn1:trawl:occ:12:individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,1,,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,total
IYS:GoA2020:Stn1:trawl,IYS:GoA2020:Stn1:trawl:occ:12,IYS:GoA2020:Stn1:trawl:occ:12:biomass,Total species biomass,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,,,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,
IYS:GoA2020:Stn2:trawl,IYS:GoA2020:Stn2:trawl:occ:13,IYS:GoA2020:Stn2:trawl:occ:13:individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,7,,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,total
IYS:GoA2020:Stn2:trawl,IYS:GoA2020:Stn2:trawl:occ:13,IYS:GoA2020:Stn2:trawl:occ:13:biomass,Total species biomass,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,0.022,,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,
IYS:GoA2020:Stn3:trawl,IYS:GoA2020:Stn3:trawl:occ:14,IYS:GoA2020:Stn3:trawl:occ:14:individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,126,,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,total
IYS:GoA2020:Stn3:trawl,IYS:GoA2020:Stn3:trawl:occ:14,IYS:GoA2020:Stn3:trawl:occ:14:biomass,Total species biomass,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,,,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,
